Label,Subtype Type,Tags,Summary,Live on-chain,Description,URL,Image,Main Ecosystem,Twitter,Community,Whitepaper,Documentation,Confidence Level,Contact Info,Geographic Focus,v1,v2,v3
Acre DAOs,DAO,Funding,ACRE DAOs is a decentralized impact investment club and Web3 access portal to the community of ACRE Invest token holders.,Yes,"At inception ACRE DAOs is a forum for conversation, collaboration, research, and coordination among members of a decentralized impact investment club. Members can organize among themselves to structure and execute specific investments in any new or existing virtual assets that facilitate peer-to-peer (or peer-to-project) direct transfer of value",https://www.acredaos.com/,https://www.acredaos.com/logo_mini_light.svg,Ethereum,https://twitter.com/acredaos,https://discord.com/invite/acredaos,"https://faq.acredaos.com/acre-daos-faqs/ 
",TBA,Good,https://discord.gg/acredaos; https://twitter.com/acredaos; https://instagram.com/acredaos  ,N/A,1,1,1
Aera Force DAO,DAO,Funding,"Aera Force is a DAO made up of climate investors, founders, scientists and civic leaders investing in accelerating us towards a regenerative world through web3.",Yes,"Aera Force Season 1 is an experimental DAO that is part venture fund, part DAO community and fully focused on helping catalyse a regenerative future for our planet.  The DAO’s first investment syndicate of 2000 ETH will invest in early stage innovations that leverage blockchain technology to accelerate a regenerative future, while building a formidable community that will shape the future. The Aera DAO is made of up a global community of climate founders, investors, scientists, and champions dedicated to bringing about a brighter future. Members of the DAO will be able to collectively source and diligence deals, decide on where to allocate capital where the biggest climate impact and returns can be achieved. At this time, investing in the syndicate is only open to accredited investors, supported by a KYC process and on-chain verification. However, non-investors can participate and earn through bounties that benefit the community.",https://www.aeraforce.xyz/,https://assets.website-files.com/627f6bb695730e2bd1f7be93/627fc90ae4aac6eddfefe093_g14.svg,Ethereum,https://twitter.com/aeraforce?s=21 ,https://discord.gg/AmFsD3VQ,https://aeraforce.notion.site/Aera-Force-Greenpaper-3fabc35a22f6417a903e74b6b2591159,,,,,0,0,1
Aerial,NFT,Carbon,Service that allows NFT collections to offset the carbon footpring of their minting ,Yes,"Aerial is an easy and accurate way to manage your carbon footprint and sustainable lifestyle. They automatically track your emissions, give you an effortless way to offset them, and offer exclusive insights into how you can live sustainably.",https://aerial.is/nft,https://pbs.twimg.com/profile_images/1316886378710409218/1igC2w4A_400x400.jpg,Ethereum,,,https://aerial.is/ethereum-footprint,,,nft@aerial.is,,1,1,1
Aerth,Data,,On ÆRTH humans interact with other humans on a digital twin of our planet in order to save Earth.,,"ÆRTH is a digital twin of Earth, an oracle based data lake, integrating large, standardized environmental data sets, in order to generate a cohesive environmental health model of our planet. ",http://aerth.live/,"https://static.wixstatic.com/media/5c254a_7a6af70d9fbc4bc98cafad7b492d8ace~mv2.png/v1/fill/w_146,h_37,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/Aerth%20Logo%20Long.png",Custom,,,,,,,,1,1,1
Aeternals,NFT,Carbon,"An artful, impact-drivenn NFT collection on the Ethereum Blockchain, inspired by and connected to the Amazonian Rainforest in real-time. ",,A library of dynamic 3D NFTs which evolve and bloom in your wallet through three states depending on the state of its interacative game environment. 55% of the minting profits go directly to Rainforest Partnership. 1% of all secondary sale proceeds go directly to our carbon credit purchases with the goal of becoming a carbon-negative project. ,https://www.aeternals.io/,https://assets.website-files.com/61dc67fd60b09910ce221508/61dcc19730fd9d7ee7011fee_The%20aeternals%20logo%201-p-800.png,Ethereum,https://twitter.com/theaeternals,https://t.co/HF2PL6fOaO,,,,,,0,1,1
AgroToken,Product,Commodities,"We create a secure and frictionless ecosystem to make trading grains easier, more efficient and more reliable.",Yes,"Agrotoken transform grains into a digital asset, to store or exchange for inputs, services and other assets.
Agrotokens, allow commercial and financial transactions with the direct backing of the grain",https://agrotoken.io/en/,https://pbs.twimg.com/profile_images/1321673067387564032/6pljLvC9_400x400.jpg,Algorand,https://twitter.com/agrotoken,TBA,https://register.agrotoken.io/bundles/app/whitepaper_es.pdf,,,https://agrotoken.io/get-in-touch,,0,0,1
AIRS,Protocol,Stewardship,,,"Hybrid smart contract application that uses satellite data to automatically dispense financial rewards to people who successfully regenerate designated areas of land by improving soil health, contributing to greater carbon sequestration, increasing vegetative/tree cover, enhancing hydrology, and other rehabilitation techniques",https://greenworld.org/airs,https://pbs.twimg.com/profile_images/2634305330/fe3776e319f632ff0997d428e6868ed1_400x400.png,Celo,https://twitter.com/Greenworldorg,,,,,,,0,1,1
Albo,Data,MRV,"Albo analyzes satellite imagery using deep learning to map, measure, and monitor carbon sequestration in nature-based projects. We're disrupting the carbon credit market by making carbon removal scalable. ",,"Leverages AI-powered spatial and temporal monitorinng to evaluate carbon sequestration.  Albo scans project areas with satellite imagery, applies proprietary deep learning algorithms, and monitors continuously for carbon productivity. ",https://www.albosys.com/,"https://static.wixstatic.com/media/ba0301_4f56be34b8804112b381c7dc3a136e54~mv2.png/v1/fill/w_331,h_162,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/Albo_new_logo_final.png",,https://twitter.com/AlboClimate,,,,,,,,,1
Algae Token,Product,Ocean,A growth Token with built-in rewards: Creating community run projects where half the revenue is used to grow the project and the rest buys back tokens to fund future projects. ,,"Algae Token aims to create moden sustainable farming systems that provide the highest yield and nutrient dense food on the planet, microalgae. Algae Token will invest in production systems with high returns that are re-invested back into the Token, these funds will allow more farms to be continually established. Functionality of the token includes the use of smart contracts for supply chain tracking and quality control, a blockchain system named, ‘Pond to Plate’. Token holders will be rewarded for participation in project development and planned functionality aspects of the token such as staking pools, liquidity, and governance. ",http://www.algaetoken.com/,http://www.algaetoken.com/images/AlgaeToken/Algae_Token_Logo_100.png,Cardano,https://twitter.com/algaetoken,https://discord.com/invite/BctqGyBxTN,http://www.algaetoken.com/images/Whitepaper/White_paper_V1.pdf,,,,,0,1,1
All for Climate DAO,DAO,Funding,Support all collectives and projects for the climate. Help citizens start or join a collective or a DAO to transition to a more sustainable world.,,"A decentralized community of active citizens that take initiatives to transition to a more sustainable world. Some of us organize marches for the climate, others start community gardens, plant trees, reclaim old airports, the public space, make movies, make art. Some create mutual aid funds to help their community after a natural disaster, others build software or develop new protocols. We are all hummingbirds doing our part and we are coming together as a DAO to support each other.",https://dao.allforclimate.earth/,https://dao.allforclimate.earth/_next/image?url=https%3A%2F%2Flh5.googleusercontent.com%2FpzVGIFbuk7tOdQ7vNcUenIedo6ZTW-I1oyPPfrrC4dkebFHNpqmjN9oUCn27lDXqC-zexgzacQ7E9wSmQl8AgjZYMo9tu8BTxVbe047JyJVIIrWrrgS0jYhTc5LYwKZLa9h_PXmFUz3DAPU&w=1920&q=75,TBA,,,,,,,,0,1,1
Allegory,Investor,Funding,,,Investing at the intersection of web3 and climate.,https://allegory.earth/,https://allegory.earth/wp-content/themes/space-oddity/img/Allegory-Logo-Motion-LOOP-1.gif,Celo,https://twitter.com/allegorylabs,TBA,,,,,,1,1,1
Allied Crowds,Advisory,Funding,"We combine technology, data, and finance to scalle the Sustainable Development Goals. ",,"Develop products using technology, data, and finance for alternative finance consulting across many sectors. Provides AI advisory to extract keywords across web pages and Machine Learninng to match entrepreneurs with potential investors. Provides advising on blockchain-based applications in crypto, mining, DApps, and ICOs. Offers support in investor funding, crowdfunding, data analytics, digitization/organization of data, and advising towards the Sustainable Development Goals. ",https://www.alliedcrowds.com/,https://pbs.twimg.com/profile_images/1019589367101304834/DszLU35W_400x400.jpg,,https://twitter.com/alliedcrowds,,,,,,,,,1
